Pre-wetting date,30-Dec-17,13-Jan-18,27-Jan-18,10-Feb-18,24-Feb-18,10-Mar-18,24-Mar-18,06-Apr-18,21-Apr-18,05-May-18,19-May-18,02-Jun-18,16-Jun-18,30-Jun-18,30-Jun-18,29-Jul-18,11-Aug-18,25-Aug-18,08-Sep-18,22-Sep-18,05-Oct-18,19-Oct-18,02-Nov-18,16-Nov-18,30-Nov-18,14-Dec-19,28-Dec-19,11-Jan-19,25-Jan-19,08-Aug-19,22-Feb-19,08-Mar-19,22-Mar-19,05-Apr-19,13-Apr-19,27-Apr-19,11-May-19,25-May-19,08-Jun-19,22-Jun-19,06-Jul-19,20-Jul-19,07-Aug-19,23-Aug-19,06-Sep-19,21-Sep-19,05-Oct-19,19-Oct-19,02-Nov-19,13-Nov-19,27-Nov-19,11-Dec-19,23-Dec-19,30-Dec-19,06-Jan-20,13-Jan-20,20-Jan-20,27-Jan-20,03-Feb-20,10-Feb-20,17-Feb-20,23-Feb-20,01-Mar-20,08-Mar-20,15-Mar-20,23-Mar-20,30-Mar-20,06-Apr-20,13-Apr-20,20-Apr-20,27-Apr-20,04-May-20,11-May-20,18-May-20,25-May-20,01-Jun-20,08-Jun-20,15-Jun-20,22-Jun-20,02-Jul-20,13-Jul-20,29-Jul-20,12-Aug-20,20-Aug-20,12-Sep-20,26-Sep-20,10-Oct-20,24-Oct-20,07-Nov-20,21-Nov-20,08-Dec-20,20-Dec-20,03-Jan-21,17-Jan-21,01-Feb-21,15-Feb-21,28-May-21,14-Mar-21,29-May-21,12-Apr-21,25-Apr-21,10-May-21,23-May-21,06-Jun-21,20-Jun-21,04-Jul-21,18-Jul-21,01-Aug-21,15-Aug-21,29-Aug-21,12-Sep-21,26-Sep-21,10-Oct-21,24-Oct-21,07-Nov-21,21-Nov-21,05-Dec-21,19-Dec-21,02-Jan-22,16-Jan-22,30-Jan-22,14-Feb-22,28-Feb-22,13-Mar-22,27-Mar-22,10-Apr-22,24-Apr-22,08-May-22,22-May-22,05-Jun-22,19-Jun-22,04-Jul-22,18-Jul-22,01-Aug-22,15-Aug-22,29-Aug-22,12-Sep-22,26-Sep-22,10-Oct-22,24-Oct-22,07-Nov-22,23-Nov-22,30-Nov-22,07-Dec-22,14-Dec-22,21-Dec-22,28-Dec-22
Evacuation date (B),25-Mar-18,08-Apr-18,01-May-18,11-May-18,29-May-18,14-Jun-18,30-Jun-18,11-Jul-18,25-Jul-18,12-Aug-18,11-Aug-18,03-Sep-18,19-Sep-18,02-Oct-18,17-Oct-18,06-Nov-18,17-Nov-18,24-Nov-18,13-Dec-18,26-Dec-18,04-Jan-19,18-Jan-19,02-Feb-19,23-Feb-19,05-Mar-19,18-Mar-19,02-Apr-19,16-Apr-19,30-Apr-19,11-May-19,18-May-19,11-Sep-19,26-Feb-19,11-Jul-19,26-Jul-19,08-Aug-19,23-Sep-19,06-Sep-19,20-Sep-19,04-Oct-19,20-Oct-19,03-Nov-19,17-Nov-19,01-Dec-19,14-Dec-19,28-Dec-19,12-Jan-20,23-Jan-20,06-Feb-20,20-Feb-20,11-Mar-20,11-Mar-20,18-Mar-20,25-Mar-20,02-Apr-20,09-Apr-20,16-Apr-20,24-Apr-20,30-Apr-20,07-May-20,14-May-20,21-May-20,28-May-20,04-Jun-20,12-Jun-20,21-Jun-20,28-Jun-20,05-Jul-20,12-Jul-20,14-Jul-20,16-Aug-20,14-Aug-20,04-Sep-20,21-Jul-20,21-Jul-20,13-Sep-20,26-Sep-20,28-Aug-20,15-Oct-20,15-Oct-20,11-Nov-20,11-Nov-20,25-Nov-20,09-Dec-20,23-Dec-20,06-Jan-21,19-Jan-21,03-Feb-21,18-Feb-21,03-Mar-21,19-Mar-21,01-Apr-21,16-Apr-21,30-Apr-21,16-May-21,28-May-21,11-Jun-21,27-Jun-21,11-Jul-21,25-Jul-21,08-Aug-21,24-Aug-21,06-Sep-21,17-Sep-21,03-Oct-21,17-Oct-21,31-Oct-21,14-Nov-21,26-Oct-21,10-Dec-21,23-Dec-21,23-Dec-21,23-Jan-22,04-Feb-22,17-Feb-22,02-Mar-22,17-Mar-22,04-Apr-22,17-Apr-22,24-Apr-22,13-May-22,22-May-22,31-May-22,24-Jun-22,03-Jul-22,24-Jul-22,19-Aug-22,19-Aug-22,04-Sep-22,16-Sep-22,29-Sep-22,16-Oct-22,26-Oct-22,10-Nov-22,26-Nov-22,09-Dec-22,,,,,,,,,,,
Wet straw at lay-out (T),10.6,12,14,14.2,14.2,16,16,16,16,16,16,17,17,18.5,12,15,15.3,17.5,15.7,15.4,16.5,15,15.3,15,15,15,15,15.4,15.9,15.5,15.6,17.1,15.2,15.1,18.8,17.5,17.5,20,20,20.1,20,21,19.7,20,20.1,20,20.1,18,19,19,19.5,20,12.2,11.6,12,12,12,12,11.7,11.7,12,12.5,13,14,13,10,10,10,10,7.5,7.5,7.2,7.2,7.2,7.5,7.5,7.5,7.5,8.8,8.8,18.8,20,20,10.5,12,16.7,16.7,22,15.4,13,16.1,13.1,13.6,13.8,13.5,13.5,14.6,18.5,15,21,21.5,18,18.5,18.5,18.5,17.5,14.5,14.5,14.5,14.5,14,14,15.5,16,18,18,20,20,19,22,22,22,22,22,23,23,23,23,23,20,15,15,18,20.5,20.5,20.5,20.2,20,16,16,16,10,10,,,,
Dry straw at lay-out (T),9.03,10.2,12.32,12.5,12.5,14.08,14.08,14.08,14.08,14.08,13.15,14.16,13.6,13.43,10.8,13.35,13.59,13.65,14.11,13.85,13.69,15.03,13.01,12.9,12.71,12.98,13.09,13.4,14,12.6,11.6,12.7,12.7,12.4,12.8,13.3,13.3,15.8,16.1,16.6,16.2,17.5,17.1,17.6,17.6,17.2,17.5,14.6,16.5,16.5,17,17.4,10.7,8.9,10.5,10.4,10.4,10.5,10.2,10.2,10.5,10,12,13.1,13,10,10,10,10,14.4,7.5,7.2,7.2,7.2,7.5,7.5,7.5,7.5,8.8,8.8,18.8,20,17.6,9.2,10.6,14.4,14.7,19.4,13.6,11.1,13.7,11.2,12.2,12.4,12.2,12.4,11.7,14.8,12.8,16.8,17.2,14.9,15.4,15.4,15.4,13.8,12,12,12,12,11.6,11.6,12.2,13.8,15.5,15.5,17,17.2,15.2,18.7,18.7,18.5,18.9,17.6,18.4,18.4,19.78,18.86,19.32,16.8,13.2,13.2,14.4,16.4,16.4,17.43,16.77,17,13.6,13.6,13.6,8.5,8.7,,,,
Moisture content PII,70%,70%,73%,71%,70%,70%,71%,68%,70%,70%,70%,70%,71%,71%,71%,71%,68%,70%,68%,71%,71%,72%,71%,69%,71%,71%,69%,70%,69%,70%,70%,70%,70%,70%,72%,72%,71%,71%,68%,69%,68%,70%,70.00%,69%,70%,70%,70%,70%,68%,68%,68%,68%,68%,69%,70%,69%,69%,69%,69%,69%,70%,71%,70%,69%,68%,69%,68%,69%,69%,69%,69%,70%,69%,69%,69%,69%,69%,67%,68%,67%,69%,67%,71%,69%,68%,68%,69%,68%,70%,68%,70%,69%,69%,69%,69%,68%,70%,70%,72%,69%,68%,68%,70%,69%,70%,72%,70%,73%,71%,68%,68%,68%,68%,68%,69%,71%,70%,71%,72%,67%,68%,70%,70.00%,71%,71.00%,69%,70.50%,70%,70%,69%,70%,68%,70%,71%,68%,68%,68%,69%,67%,70%,67%,70%,,,,,
Conversion rate,56%,61%,83%,75%,80%,89%,89%,90%,77%,83%,65%,48%,88%,61%,61%,57%,65%,93%,84%,83%,83%,76%,82%,98%,88%,91%,86%,89%,78%,87%,91%,71%,76%,78%,82%,92%,77%,84%,82%,72%,65%,83%,82.90%,89%,85%,86%,78%,83%,82%,86%,77%,78%,86%,87%,82%,85%,83%,77%,72%,81%,68%,72%,71%,68%,64%,87%,89%,78%,75%,86%,87%,88%,89%,79%,81%,88%,89%,77%,76%,63%,61%,65%,57%,70%,80%,52%,65%,71%,81%,88%,82%,85%,82%,78%,77%,83%,69%,67%,60%,61%,72%,83%,80%,79%,74%,77%,81%,67%,79%,85%,79%,82%,76%,81%,72%,75%,73%,77%,72%,73%,76%,59%,67%,66%,73%,68%,82%,75%,69%,72%,81%,86%,78%,68%,77%,66%,71%,72%,76%,75%,77%,76%,,,,,
Fill bag rate,16,15,14.5,15,15,14.5,16,14,15,15,12.4,10.6,14.5,12.5,10,11,11,15,14.5,15,15.5,15,16,15,14.5,14.8,14.2,15,15,15,14,14,14,14,14,16,14,15,15,15,13,16,16,15,15,16,15,15,15,15,15,15,15,15,15,15,15,15,14,15,14,15,16,16,15,16,16,15,15,14,14,15,15,15,15,15,14,14,15,14,14,14,15,15,15,14,15,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15.5,14,14.5,15,14.5,15,16,15,16.5,16.5,15,14.5,14.5,14.5,14.5,15,14.5,14.5,14.5,14.5,14.5,14.5,14.5,16,,,,,
Spawn rate (ml),120,126,130,124,128,126,131,132,132,132,128,128,126,126,120,127,139,139,131,122,135,129,122,105,104,109,125,127,127,128,126,129,121,107,115,132,123,122,121,118,123,116,120,120,120,120,116,116,116,116,116,116,116,116,116,116,116,116,116,123,121,121,126,123,125,121,121,121,126,127,126,143,163,121,145,125,136,121,140,153,150,150,140,140,140,140,125,140,140,140,125,140,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,126,125,125,125,125,125,125,125,130,125,125,125,125,125,125,125,125,125,125,125,125,125,133,,,,,
Compost score,,,,,,,,,,,,,,,,,,,,,,,,80%,81.20%,76.20%,78.75%,64%,80%,79%,78%,71%,75%,71%,66%,68%,76%,79%,81%,73%,81%,83%,75.60%,75.60%,73.75%,95.31%,83%,83%,82%,72%,76%,64%,73%,73%,64%,71%,67%,64%,53%,59%,0%,0%,65%,65%,68%,64%,57%,52%,54%,50%,51%,51%,54%,54%,51%,48%,62%,60%,53%,60%,60%,55%,59%,73%,77%,69%,77%,84%,76%,78%,78%,79%,81%,84%,80%,78%,71%,50%,49%,86%,84%,83%,77%,82%,82%,76%,85%,72%,80%,81%,84%,80%,79%,80%,80%,76%,86%,73%,65%,73%,81%,76%,85%,77%,77%,80%,70%,78%,73%,80%,74%,76%,76%,78%,80%,,,,,,,,,,,,
# bags (WHITE),745,"1,123","2,255","1,930","1,983","2,617","2,410","2,486","2,049","2,261","1,932","1,778","2,455","1,917","1,902","2,080","2,224","2,549","2,348","2,324","2,208","1,971","1,952","2,237","2,204","2,339","2,152","2,299","2,008","2,082","2,165","1,801","1,942","2,002","2,337","2,491","2,184","2,669","2,439","2,302","2,291","2,744","2,659","2,577","2,546","2,579","2,619","2,300","2,603","2,656","2,418","2,537","1,770","1,770","1,770","1,770","1,770","1,631","1,528","1,681","1,550","1,558","1,409","1,418","1,400","1,371","1,402","1,439","1,391","1,306","1,386","1,290","1,277","1,097",826,"1,180",931,"1,101","1,260","1,058","2,109","2,227","2,016","1,273","1,613","1,502","1,930","2,469","2,061","1,736","2,126","1,830","1,947","1,943","1,888","2,089","1,431","1,939","1,638","1,939","2,324","2,332","2,433","2,293","2,256","2,270","1,892","1,757","1,975","1,980","1,756","1,895","1,865","2,137","2,256","2,413","2,455","2,631","2,145","2,573","2,680","2,009","2,494","2,235","2,500","2,305","2,913","2,463","2,582","2,232","2,159","2,219","2,205","2,246","2,420","2,181","2,260","2,427","1,955","2,160","1,990","1,240",,,,,
# bags (BROWN),306,250,320,211,250,255,303,350,352,350,350,350,345,301,334,304,306,290,317,350,350,400,324,450,450,402,400,350,349,350,350,350,351,300,322,323,300,326,304,302,312,301,300,302,300,301,305,350,329,300,302,299,150,150,150,150,150,150,156,150,151,121,120,120,120,120,90, -   , -   , -   , -   , -   , -   , -   , -   , -   ,416, -   , -   , -   ,220,237,236,164,200,161,182,406,379,293,359,200,200,200,201,202,355,349,198,325,351,350,406,401,350,350,352,305,200,214,151,156,151,181,201,250,300,404,363,400,400,401,399,438,400,400,400,400,401,473,300,240,361,300,300,300,300,300,200,200,200,100,,,,,
